method,r,feature_id,prompt_idx,judge_coherence,judge_concept
PDS,0.2,1975,9,45.0,0.0
PDS,0.2,1975,10,45.0,0.0
PDS,0.2,1975,12,45.0,0.0
PDS,0.2,1975,19,45.0,0.0
PDS,0.2,1975,25,50.0,0.0
PDS,0.2,1975,28,45.0,0.0
PDS,0.2,1975,29,45.0,0.0
PDS,0.2,1975,31,10.0,65.0
PDS,0.4,1975,9,50.0,0.0
PDS,0.4,1975,10,35.0,0.0
PDS,0.4,1975,12,5.0,0.0
PDS,0.4,1975,19,35.0,0.0
PDS,0.4,1975,25,10.0,0.0
PDS,0.4,1975,28,25.0,0.0
PDS,0.4,1975,29,35.0,0.0
PDS,0.4,1975,31,20.0,0.0
PDS,0.6,1975,9,15.0,0.0
PDS,0.6,1975,10,5.0,0.0
PDS,0.6,1975,12,10.0,0.0
PDS,0.6,1975,19,5.0,20.0
PDS,0.6,1975,25,15.0,0.0
PDS,0.6,1975,28,15.0,0.0
PDS,0.6,1975,29,5.0,0.0
PDS,0.6,1975,31,15.0,0.0
PDS,0.8,1975,9,10.0,0.0
PDS,0.8,1975,10,15.0,0.0
PDS,0.8,1975,12,5.0,45.0
PDS,0.8,1975,19,5.0,0.0
PDS,0.8,1975,25,5.0,0.0
PDS,0.8,1975,28,5.0,0.0
PDS,0.8,1975,29,5.0,35.0
PDS,0.8,1975,31,5.0,0.0
PDS,0.2,3703,9,95.0,75.0
PDS,0.2,3703,10,45.0,0.0
PDS,0.2,3703,12,45.0,0.0
PDS,0.2,3703,19,45.0,0.0
PDS,0.2,3703,25,15.0,45.0
PDS,0.2,3703,28,50.0,40.0
PDS,0.2,3703,29,45.0,0.0
PDS,0.2,3703,31,45.0,0.0
PDS,0.4,3703,9,45.0,50.0
PDS,0.4,3703,10,45.0,0.0
PDS,0.4,3703,12,45.0,65.0
PDS,0.4,3703,19,45.0,0.0
PDS,0.4,3703,25,25.0,75.0
PDS,0.4,3703,28,50.0,85.0
PDS,0.4,3703,29,15.0,0.0
PDS,0.4,3703,31,15.0,50.0
PDS,0.6,3703,9,10.0,40.0
PDS,0.6,3703,10,15.0,85.0
PDS,0.6,3703,12,5.0,75.0
PDS,0.6,3703,19,5.0,45.0
PDS,0.6,3703,25,10.0,65.0
PDS,0.6,3703,28,10.0,75.0
PDS,0.6,3703,29,5.0,50.0
PDS,0.6,3703,31,5.0,45.0
PDS,0.8,3703,9,5.0,30.0
PDS,0.8,3703,10,15.0,85.0
PDS,0.8,3703,12,15.0,75.0
PDS,0.8,3703,19,5.0,45.0
PDS,0.8,3703,25,5.0,45.0
PDS,0.8,3703,28,5.0,75.0
PDS,0.8,3703,29,0.0,10.0
PDS,0.8,3703,31,5.0,40.0
PDS,0.2,6882,9,85.0,50.0
PDS,0.2,6882,10,50.0,0.0
PDS,0.2,6882,12,35.0,50.0
PDS,0.2,6882,19,75.0,0.0
PDS,0.2,6882,25,30.0,0.0
PDS,0.2,6882,28,45.0,0.0
PDS,0.2,6882,29,45.0,50.0
PDS,0.2,6882,31,15.0,0.0
PDS,0.4,6882,9,45.0,50.0
PDS,0.4,6882,10,10.0,0.0
PDS,0.4,6882,12,45.0,0.0
PDS,0.4,6882,19,5.0,0.0
PDS,0.4,6882,25,25.0,0.0
PDS,0.4,6882,28,0.0,50.0
PDS,0.4,6882,29,20.0,50.0
PDS,0.4,6882,31,15.0,50.0
PDS,0.6,6882,9,5.0,0.0
PDS,0.6,6882,10,0.0,0.0
PDS,0.6,6882,12,0.0,0.0
PDS,0.6,6882,19,0.0,0.0
PDS,0.6,6882,25,0.0,0.0
PDS,0.6,6882,28,0.0,0.0
PDS,0.6,6882,29,5.0,0.0
PDS,0.6,6882,31,5.0,0.0
PDS,0.8,6882,9,5.0,0.0
PDS,0.8,6882,10,0.0,0.0
PDS,0.8,6882,12,0.0,0.0
PDS,0.8,6882,19,0.0,0.0
PDS,0.8,6882,25,0.0,0.0
PDS,0.8,6882,28,0.0,0.0
PDS,0.8,6882,29,0.0,0.0
PDS,0.8,6882,31,0.0,0.0
PDS,0.2,7111,9,45.0,0.0
PDS,0.2,7111,10,15.0,0.0
PDS,0.2,7111,12,45.0,0.0
PDS,0.2,7111,19,10.0,50.0
PDS,0.2,7111,25,25.0,0.0
PDS,0.2,7111,28,5.0,0.0
PDS,0.2,7111,29,45.0,0.0
PDS,0.2,7111,31,5.0,85.0
PDS,0.4,7111,9,25.0,0.0
PDS,0.4,7111,10,15.0,0.0
PDS,0.4,7111,12,15.0,75.0
PDS,0.4,7111,19,15.0,85.0
PDS,0.4,7111,25,5.0,50.0
PDS,0.4,7111,28,50.0,85.0
PDS,0.4,7111,29,35.0,75.0
PDS,0.4,7111,31,10.0,0.0
PDS,0.6,7111,9,5.0,50.0
PDS,0.6,7111,10,5.0,85.0
PDS,0.6,7111,12,15.0,65.0
PDS,0.6,7111,19,5.0,75.0
PDS,0.6,7111,25,5.0,50.0
PDS,0.6,7111,28,5.0,50.0
PDS,0.6,7111,29,15.0,65.0
PDS,0.6,7111,31,5.0,0.0
PDS,0.8,7111,9,5.0,50.0
PDS,0.8,7111,10,5.0,50.0
PDS,0.8,7111,12,5.0,45.0
PDS,0.8,7111,19,5.0,75.0
PDS,0.8,7111,25,0.0,0.0
PDS,0.8,7111,28,5.0,0.0
PDS,0.8,7111,29,0.0,0.0
PDS,0.8,7111,31,5.0,0.0
PDS,0.2,9631,9,50.0,0.0
PDS,0.2,9631,10,20.0,0.0
PDS,0.2,9631,12,35.0,0.0
PDS,0.2,9631,19,50.0,0.0
PDS,0.2,9631,25,25.0,0.0
PDS,0.2,9631,28,15.0,0.0
PDS,0.2,9631,29,45.0,0.0
PDS,0.2,9631,31,45.0,0.0
PDS,0.4,9631,9,100.0,0.0
PDS,0.4,9631,10,45.0,0.0
PDS,0.4,9631,12,45.0,0.0
PDS,0.4,9631,19,45.0,50.0
PDS,0.4,9631,25,15.0,0.0
PDS,0.4,9631,28,50.0,0.0
